rate_date,currency,exchange_rate_to_inr
2026-06-24,INR,1.0
2026-06-24,EUR,104.44
2026-06-24,CAD,64.71
2026-06-24,AUD,57.08
2026-06-25,USD,89.77
2026-06-25,GBP,118.88
2026-06-25,INR,1.0
2026-06-25,EUR,101.08
2026-06-25,CAD,64.35
2026-06-25,AUD,57.93
2026-06-26,USD,91.24
2026-06-26,GBP,116.68
2026-06-26,INR,1.0
2026-06-26,EUR,102.83
2026-06-26,CAD,64.46
2026-06-26,AUD,58.36
2026-06-27,USD,92.15
2026-06-27,GBP,120.53
2026-06-27,INR,1.0
2026-06-27,EUR,104.72
2026-06-27,CAD,65.15
2026-06-27,AUD,57.91
2026-06-28,USD,90.33
2026-06-28,GBP,120.23
2026-06-28,INR,1.0
2026-06-28,EUR,102.5
2026-06-28,CAD,64.16
2026-06-28,AUD,57.58
2026-06-29,USD,90.34
2026-06-29,GBP,117.8
2026-06-29,INR,1.0
2026-06-29,EUR,103.67
2026-06-29,CAD,63.57
2026-06-29,AUD,57.1
2026-06-30,USD,92.4
2026-06-30,GBP,118.12
2026-06-30,INR,1.0
2026-06-30,EUR,104.75
2026-06-30,CAD,65.23
2026-06-30,AUD,58.09
2026-07-01,USD,89.96
2026-07-01,GBP,118.13
2026-07-01,INR,1.0
2026-07-01,EUR,101.08
2026-07-01,CAD,62.87
2026-07-01,AUD,58.79
2026-07-02,USD,91.84
2026-07-02,GBP,118.83
2026-07-02,INR,1.0
2026-07-02,EUR,103.26
2026-07-02,CAD,64.54
2026-07-02,AUD,57.98
2026-07-03,USD,92.28
2026-07-03,GBP,117.83
2026-07-03,INR,1.0
2026-07-03,EUR,101.46
2026-07-03,CAD,65.03
2026-07-03,AUD,58.19
2026-07-04,USD,92.44
2026-07-04,GBP,118.28
2026-07-04,INR,1.0
2026-07-04,EUR,104.87
2026-07-04,CAD,62.83
2026-07-04,AUD,58.01
2026-07-05,USD,92.24
2026-07-05,GBP,120.82
2026-07-05,INR,1.0
2026-07-05,EUR,102.69
2026-07-05,CAD,63.78
2026-07-05,AUD,57.75
2026-07-06,USD,91.31
2026-07-06,GBP,119.69
2026-07-06,INR,1.0
2026-07-06,EUR,104.56
2026-07-06,CAD,65.03
2026-07-06,AUD,57.09
2026-07-07,USD,92.31
2026-07-07,GBP,117.15
2026-07-07,INR,1.0
2026-07-07,EUR,103.65
2026-07-07,CAD,64.97
2026-07-07,AUD,57.78
2026-07-08,USD,90.25
2026-07-08,GBP,117.46
2026-07-08,INR,1.0
2026-07-08,EUR,102.35
2026-07-08,CAD,62.89
2026-07-08,AUD,58.31
2026-07-09,USD,89.41
2026-07-09,GBP,118.51
2026-07-09,INR,1.0
2026-07-09,EUR,101.02
2026-07-09,CAD,65.08
2026-07-09,AUD,57.7
2026-07-10,USD,90.66
2026-07-10,GBP,118.7
2026-07-10,INR,1.0
2026-07-10,EUR,102.22
2026-07-10,CAD,63.14
2026-07-10,AUD,58.55
2026-07-11,USD,89.68
2026-07-11,GBP,116.98
2026-07-11,INR,1.0
2026-07-11,EUR,101.99
2026-07-11,CAD,65.24
2026-07-11,AUD,59.04
2026-07-12,USD,92.61
2026-07-12,GBP,118.7
2026-07-12,INR,1.0
2026-07-12,EUR,104.1
2026-07-12,CAD,63.37
2026-07-12,AUD,57.8
2026-07-13,USD,90.08
2026-07-13,GBP,121.37
2026-07-13,INR,1.0
2026-07-13,EUR,102.19
2026-07-13,CAD,63.05
2026-07-13,AUD,56.96
2026-07-14,USD,89.22
2026-07-14,GBP,117.36
2026-07-14,INR,1.0
2026-07-14,EUR,102.76
2026-07-14,CAD,63.86
2026-07-14,AUD,57.89
2026-07-15,USD,91.59
2026-07-15,GBP,117.88
2026-07-15,INR,1.0
2026-07-15,EUR,101.81
2026-07-15,CAD,63.2
2026-07-15,AUD,58.83
2026-07-16,USD,89.68
2026-07-16,GBP,121.03
2026-07-16,INR,1.0
2026-07-16,EUR,101.04
2026-07-16,CAD,63.72
2026-07-16,AUD,58.23
2026-07-17,USD,90.16
2026-07-17,GBP,119.95
2026-07-17,INR,1.0
2026-07-17,EUR,101.49
2026-07-17,CAD,63.83
2026-07-17,AUD,57.79
2026-07-18,USD,90.12
2026-07-18,GBP,117.02
2026-07-18,INR,1.0
2026-07-18,EUR,101.96
2026-07-18,CAD,63.58
2026-07-18,AUD,58.52
2026-07-19,USD,89.59
2026-07-19,GBP,118.61
2026-07-19,INR,1.0
2026-07-19,EUR,102.36
2026-07-19,CAD,64.36
2026-07-19,AUD,58.15
2026-07-20,USD,89.77
2026-07-20,GBP,117.44
2026-07-20,INR,1.0
2026-07-20,EUR,102.66
2026-07-20,CAD,63.26
2026-07-20,AUD,58.54
2026-07-21,USD,90.58
2026-07-21,GBP,120.06
2026-07-21,INR,1.0
2026-07-21,EUR,104.14
2026-07-21,CAD,64.87
2026-07-21,AUD,57.57
2026-07-22,USD,92.49
2026-07-22,GBP,119.95
2026-07-22,INR,1.0
2026-07-22,EUR,103.54
2026-07-22,CAD,63.63
2026-07-22,AUD,58.16
2026-07-23,USD,92.17
2026-07-23,GBP,121.16
2026-07-23,INR,1.0
2026-07-23,EUR,102.94
2026-07-23,CAD,64.52
2026-07-23,AUD,58.33
2026-07-24,USD,90.74
2026-07-24,GBP,121.26
2026-07-24,INR,1.0
2026-07-24,EUR,103.05
2026-07-24,CAD,63.48
2026-07-24,AUD,57.8
2026-07-25,USD,90.5
2026-07-25,GBP,118.3
2026-07-25,INR,1.0
2026-07-25,EUR,104.06
2026-07-25,CAD,63.33
2026-07-25,AUD,57.97
2026-07-26,USD,89.82
2026-07-26,GBP,120.44
2026-07-26,INR,1.0
2026-07-26,EUR,102.75
2026-07-26,CAD,63.51
2026-07-26,AUD,57.24
2026-07-27,USD,92.75
2026-07-27,GBP,117.48
2026-07-27,INR,1.0
2026-07-27,EUR,101.1
2026-07-27,CAD,64.81
2026-07-27,AUD,58.3
2026-07-28,USD,92.81
2026-07-28,GBP,119.19
2026-07-28,INR,1.0
2026-07-28,EUR,103.62
2026-07-28,CAD,64.65
2026-07-28,AUD,59.13
2026-07-29,USD,90.51
2026-07-29,GBP,120.44
2026-07-29,INR,1.0
2026-07-29,EUR,103.09
2026-07-29,CAD,63.64
2026-07-29,AUD,58.69
2026-07-30,USD,91.14
2026-07-30,GBP,117.59
2026-07-30,INR,1.0
2026-07-30,EUR,103.57
2026-07-30,CAD,63.21
2026-07-30,AUD,57.41
2026-07-31,USD,92.4
2026-07-31,GBP,120.15
2026-07-31,INR,1.0
2026-07-31,EUR,101.39
2026-07-31,CAD,63.59
2026-07-31,AUD,58.76
2026-08-01,USD,89.45
2026-08-01,GBP,118.58
2026-08-01,INR,1.0
2026-08-01,EUR,102.13
2026-08-01,CAD,64.46
2026-08-01,AUD,58.71
2026-08-02,USD,91.37
2026-08-02,GBP,121.12
2026-08-02,INR,1.0
2026-08-02,EUR,105.03
2026-08-02,CAD,64.94
2026-08-02,AUD,58.47
2026-08-03,USD,90.85
2026-08-03,GBP,117.6
2026-08-03,INR,1.0
2026-08-03,EUR,101.2
2026-08-03,CAD,64.59
2026-08-03,AUD,57.14
2026-08-04,USD,89.63
2026-08-04,GBP,117.52
2026-08-04,INR,1.0
2026-08-04,EUR,103.46
2026-08-04,CAD,65.03
2026-08-04,AUD,57.62
2026-08-05,USD,90.87
2026-08-05,GBP,118.74
2026-08-05,INR,1.0
2026-08-05,EUR,104.36
2026-08-05,CAD,64.8
2026-08-05,AUD,57.65
2026-08-06,USD,91.73
2026-08-06,GBP,121.1
2026-08-06,INR,1.0
2026-08-06,EUR,104.94
2026-08-06,CAD,62.97
2026-08-06,AUD,58.62
2026-08-07,USD,92.41
2026-08-07,GBP,120.81
2026-08-07,INR,1.0
2026-08-07,EUR,101.22
2026-08-07,CAD,65.25
2026-08-07,AUD,57.43
2026-08-08,USD,91.6
2026-08-08,GBP,120.04
2026-08-08,INR,1.0
2026-08-08,EUR,101.64
2026-08-08,CAD,63.91
2026-08-08,AUD,58.27
2026-08-09,USD,92.21
2026-08-09,GBP,118.32
2026-08-09,INR,1.0
2026-08-09,EUR,103.46
2026-08-09,CAD,64.87
2026-08-09,AUD,58.88
2026-08-10,USD,89.74
2026-08-10,GBP,120.34
2026-08-10,INR,1.0
2026-08-10,EUR,102.83
2026-08-10,CAD,62.91
2026-08-10,AUD,57.74
2026-08-11,USD,89.29
2026-08-11,GBP,118.25
2026-08-11,INR,1.0
2026-08-11,EUR,100.98
2026-08-11,CAD,64.54
2026-08-11,AUD,58.56
